iter	MultiClass
0	0.9950738076
1	0.9129324513
2	0.8457242283
3	0.7886957792
4	0.7452239589
5	0.7009090394
6	0.6615937973
7	0.6268289935
8	0.5971291379
9	0.5674295595
10	0.5413720992
11	0.5234420257
12	0.5069002986
13	0.4907227443
14	0.4769024723
15	0.4594483399
16	0.4476922726
17	0.4335266504
18	0.4204171431
19	0.4084311019
20	0.3992948797
21	0.3884026645
22	0.382262627
23	0.3737944555
24	0.3663830823
25	0.3581550867
26	0.3514694616
27	0.3429665347
28	0.3381799336
29	0.3329499866
30	0.3264275185
31	0.3210830411
32	0.3168132267
33	0.3103062429
34	0.3027373269
35	0.2974882286
36	0.2916266126
37	0.2873913294
38	0.2820073372
39	0.2797818926
40	0.2762415942
41	0.2722345103
42	0.2687472463
43	0.2650945777
44	0.2623183904
45	0.2593736525
46	0.2554045184
47	0.2533458181
48	0.2500171379
49	0.2471092657
50	0.243449179
51	0.2416634873
52	0.2399943511
53	0.2371002599
54	0.2332456276
55	0.2291709543
56	0.2274256883
57	0.2246853252
58	0.2232402946
59	0.222105526
60	0.2201262817
61	0.2163222636
62	0.2146084899
63	0.2131483764
64	0.2113361733
65	0.2093957877
66	0.2076219983
67	0.205964566
68	0.2050071748
69	0.2043592362
70	0.2016447382
71	0.2003979145
72	0.1990916621
73	0.1962057793
74	0.1938803994
75	0.1920705681
76	0.1903800047
77	0.1881851712
78	0.1862311003
79	0.1853670269
80	0.1841931411
81	0.1822354347
82	0.180824385
83	0.1801359063
84	0.1792624043
85	0.1786206177
86	0.1766979246
87	0.174975695
88	0.1730553042
89	0.172003142
90	0.170701785
91	0.1701531319
92	0.1686048646
93	0.1679818985
94	0.1658145852
95	0.1645845259
96	0.1640383806
97	0.1622974653
98	0.1607008057
99	0.1592720637
100	0.158595723
101	0.1566684146
102	0.1559913132
103	0.1546709049
104	0.1537675964
105	0.1526380327
106	0.1521467082
107	0.1515628972
108	0.1503700122
109	0.1490206075
110	0.1482206522
111	0.1464957905
112	0.145560093
113	0.1450719044
114	0.1436955428
115	0.142341456
116	0.1412816242
117	0.1395656864
118	0.1377368748
119	0.136118156
120	0.1355815967
121	0.1343394364
122	0.1335574075
123	0.1331125124
124	0.1322468328
125	0.13096565
126	0.1299893748
127	0.128552273
128	0.1279465312
129	0.1272020516
130	0.1262621966
131	0.125745996
132	0.1249783673
133	0.1238833187
134	0.1232494314
135	0.1222773052
136	0.1214218123
137	0.120666782
138	0.1198517961
139	0.1193622142
140	0.1188581549
141	0.117919935
142	0.1169859635
143	0.1159405328
144	0.115039463
145	0.1140025733
146	0.1132688803
147	0.112424253
148	0.1120044504
149	0.1110864885
150	0.1102123293
151	0.1091910285
152	0.1079751976
153	0.1073228841
154	0.106439542
155	0.1057926069
156	0.1050316207
157	0.1046248228
158	0.104008782
159	0.1035503503
160	0.1027964013
161	0.1024574892
162	0.1018866651
163	0.1010785433
164	0.1001838241
165	0.09882618581
166	0.09838846915
167	0.09799092148
168	0.09758355489
169	0.09718987302
170	0.09692621559
171	0.09637626508
172	0.09599504217
173	0.09544448867
174	0.09473209687
175	0.09442732707
176	0.09359138199
177	0.09292838127
178	0.09260497001
179	0.09237263516
180	0.09179493205
181	0.09136750496
182	0.09032284852
183	0.08993685447
184	0.08936891144
185	0.08851036026
186	0.08784936581
187	0.08689572212
188	0.08651499505
189	0.08604470756
190	0.08567330803
191	0.08524586324
192	0.08469480175
193	0.08429558115
194	0.08401860193
195	0.08374048149
196	0.08329709189
197	0.08265973871
198	0.08225899309
199	0.08203673313
200	0.08137963232
201	0.08119869079
202	0.08100217816
203	0.08051417442
204	0.0800907848
205	0.07990555688
206	0.0795972445
207	0.0792943658
208	0.0786156749
209	0.07808055756
210	0.07788992153
211	0.07741330387
212	0.07695701404
213	0.07657205925
214	0.076219708
215	0.07588425279
216	0.07548432668
217	0.07489762873
218	0.07448311731
219	0.07400504584
220	0.07384382382
221	0.07350394661
222	0.07292736934
223	0.07271614179
224	0.07246874502
225	0.07184388632
226	0.0717333489
227	0.07152948013
228	0.07091814269
229	0.07069034033
230	0.07039494337
231	0.07025139316
232	0.06983793217
233	0.06951797771
234	0.0693252264
235	0.06877731363
236	0.06848382699
237	0.067942782
238	0.06747954306
239	0.06717234698
240	0.06665873461
241	0.06623923612
242	0.0658911169
243	0.06567284626
244	0.06537111099
245	0.06504880569
246	0.06466691109
247	0.06440417315
248	0.0641289894
249	0.06395680466
250	0.06351624247
251	0.06312810556
252	0.06278677214
253	0.06242476724
254	0.06208000252
255	0.06184714917
256	0.06157182053
257	0.06125899058
258	0.0609368779
259	0.06069076981
260	0.06039217099
261	0.06015853394
262	0.05991187261
263	0.05949476755
264	0.05917539412
265	0.05894595872
266	0.0587887405
267	0.05858445651
268	0.05838238036
269	0.05806612082
270	0.05787871851
271	0.0576821294
272	0.05735064588
273	0.0570021404
274	0.05669988977
275	0.05653832144
276	0.05617379491
277	0.05581262818
278	0.05561923638
279	0.05530835645
280	0.05507936755
281	0.05487167487
282	0.0546166351
283	0.054430275
284	0.0542508291
285	0.05407706401
286	0.0537170855
287	0.05349193767
288	0.0533493452
289	0.0530928932
290	0.05286345379
291	0.05267690219
292	0.05225291464
293	0.05205118929
294	0.05155988226
295	0.05119172801
296	0.05105837325
297	0.05088433023
298	0.05073240745
299	0.05049330456
300	0.05027092538
301	0.05013852936
302	0.04996472855
303	0.04970556517
304	0.04946565979
305	0.04927706793
306	0.04907942419
307	0.04886412818
308	0.04851961779
309	0.04830064592
310	0.04812284466
311	0.04788226704
312	0.04772419737
313	0.04760225645
314	0.04745686706
315	0.04724220785
316	0.04705480432
317	0.0469227518
318	0.04663921021
319	0.04651300658
320	0.04641761709
321	0.04622059917
322	0.04595923779
323	0.04570362637
324	0.04547492488
325	0.04534059128
326	0.04514804389
327	0.04504871013
328	0.04475798788
329	0.04462963539
330	0.04444010062
331	0.04435344793
332	0.04424284939
333	0.04411883536
334	0.04395985052
335	0.04371264102
336	0.04348101289
337	0.04328531064
338	0.04309161484
339	0.04290299754
340	0.04273624499
341	0.04260787128
342	0.04257078535
343	0.0423061753
344	0.04212460631
345	0.04205389277
346	0.04187408544
347	0.04178711919
348	0.04160049071
349	0.04139779546
350	0.04132489389
351	0.04118739515
352	0.04101717465
353	0.04081487285
354	0.04066427284
355	0.04042884671
356	0.0402029234
357	0.04010551311
358	0.03986684478
359	0.03973392596
360	0.03960845205
361	0.0393595118
362	0.03924103975
363	0.03907210946
364	0.03895123678
365	0.03880064134
366	0.03863889823
367	0.03850588364
368	0.03825601175
369	0.03814876483
370	0.03803426441
371	0.03777491288
372	0.03767429973
373	0.03754390006
374	0.03737858973
375	0.0372298979
376	0.0371028534
377	0.03694320229
378	0.03685170662
379	0.03677668622
380	0.03670383258
381	0.0366494037
382	0.03643952026
383	0.03627640765
384	0.03618867858
385	0.03604675117
386	0.03590560962
387	0.03581736097
388	0.03570345042
389	0.03554975583
390	0.03535194644
391	0.03524190778
392	0.03512058122
393	0.03503807006
394	0.0350024737
395	0.03490535849
396	0.03476903164
397	0.03462979998
398	0.03444338886
399	0.0343459312
400	0.03421415163
401	0.03412479087
402	0.03402473988
403	0.0338840507
404	0.03378537936
405	0.03361735134
406	0.03343321146
407	0.03327287679
408	0.0331728271
409	0.03308549506
410	0.03297386402
411	0.03278786278
412	0.03269215845
413	0.03256457635
414	0.03242123956
415	0.03235273099
416	0.03218689785
417	0.0320648943
418	0.03198185091
419	0.03172318891
420	0.03163342688
421	0.0315292549
422	0.03138458105
423	0.03134888359
424	0.03126202103
425	0.03112651829
426	0.03108241943
427	0.03093245812
428	0.03081572545
429	0.03072610546
430	0.03065484449
431	0.03056767098
432	0.03044220086
433	0.03029425256
434	0.0301938795
435	0.03008462966
436	0.02995440439
437	0.02985224167
438	0.02972908949
439	0.02960006379
440	0.02955607841
441	0.02941222175
442	0.02931401198
443	0.02916804302
444	0.02909232752
445	0.02898340697
446	0.02893486465
447	0.02882118719
448	0.02873084531
449	0.02868192099
450	0.02858713217
451	0.02851011507
452	0.02839141505
453	0.02831897424
454	0.02821303139
455	0.02811719513
456	0.02807696962
457	0.02803582078
458	0.02793176804
459	0.02783139827
460	0.02773554399
461	0.02768401026
462	0.0276267336
463	0.02757908207
464	0.02745465452
465	0.0274257195
466	0.02733135502
467	0.02726697619
468	0.02716669213
469	0.02705418247
470	0.02693700925
471	0.02680839846
472	0.02671022165
473	0.02660302496
474	0.0264753581
475	0.02642436341
476	0.02629204105
477	0.02625544447
478	0.02618478602
479	0.02606541515
480	0.02595450881
481	0.02583154472
482	0.0256834312
483	0.02559929597
484	0.02555503985
485	0.02549631866
486	0.0253841458
487	0.02533474991
488	0.02528486227
489	0.02524286272
490	0.02514428107
491	0.02506128991
492	0.02500111739
493	0.02489388843
494	0.02479240768
495	0.0247322392
496	0.02463047981
497	0.02451744376
498	0.02438367501
499	0.02431764368
500	0.024272373
501	0.02419218604
502	0.02410112275
503	0.0240382534
504	0.02394565191
505	0.02389859943
